time,France,Germany,Iran,Italy,Japan,"Korea, South",Spain,US
2020/2/20,,,,,,104,,
2020/2/21,,,,,105,204,,
2020/2/22,,,,,122,433,,
2020/2/23,,,,155,147,602,,
2020/2/24,,,,229,159,833,,
2020/2/25,,,,322,170,977,,
2020/2/26,,,139,453,189,1261,,
2020/2/27,,,245,655,214,1766,,
2020/2/28,,,388,888,228,2337,,
2020/2/29,100,,593,1128,241,3150,,
2020/3/1,130,130,978,1694,256,3736,,
2020/3/2,191,159,1501,2036,274,4335,120,
2020/3/3,204,196,2336,2502,293,5186,165,118
2020/3/4,285,262,2922,3089,331,5621,222,149
2020/3/5,377,482,3513,3858,360,6088,259,217
2020/3/6,653,670,4747,4636,420,6593,400,262
2020/3/7,949,799,5823,5883,461,7041,500,402
2020/3/8,1126,1040,6566,7375,502,7314,673,518
2020/3/9,1209,1176,7161,9172,511,7478,1073,583
2020/3/10,1784,1457,8042,10149,581,7513,1695,959
2020/3/11,2281,1908,9000,12462,639,7755,2277,1281
2020/3/12,2281,2078,10075,12462,639,7869,2277,1663
2020/3/13,3661,3675,11364,17660,701,7979,5232,2179
2020/3/14,4469,4585,12729,21157,773,8086,6391,2727
2020/3/15,4499,5795,13938,24747,839,8162,7798,3499
2020/3/16,6633,7272,14991,27980,839,8236,9942,4632
2020/3/17,7652,9257,16169,31506,878,8320,11748,6421
2020/3/18,9043,12327,17361,35713,889,8413,13910,7783
2020/3/19,10871,15320,18407,41035,924,8565,17963,13747
2020/3/20,12612,19848,19644,47021,963,8652,20410,19273
2020/3/21,14282,22213,20610,53578,1007,8799,25374,25600
2020/3/22,16018,24873,21638,59138,1101,8961,28768,33276
2020/3/23,19856,29056,23049,63927,1128,8961,35136,43847
2020/3/24,22304,32986,24811,69176,1193,9037,39885,53740
2020/3/25,25233,37323,27017,74386,1307,9137,49515,65778
2020/3/26,29155,43938,29406,80589,1387,9241,57786,83836
2020/3/27,32964,50871,32332,86498,1468,9332,65719,101657
2020/3/28,37575,57695,35408,92472,1693,9478,73235,121465
2020/3/29,40174,62095,38309,97689,1866,9583,80110,140909
2020/3/30,44550,66885,41495,101739,1866,9661,87956,161831
2020/3/31,52128,71808,44605,105792,1953,9786,95923,188172
2020/4/1,56989,77872,47593,110574,2178,9887,104118,213372
2020/4/2,59105,84794,50468,115242,2495,9976,112065,243762
2020/4/3,64338,91159,53183,119827,2617,10062,119199,275586
2020/4/4,89953,96092,55743,124632,3139,10156,126168,308853
2020/4/5,92839,100123,58226,128948,3139,10237,131646,337072
2020/4/6,98010,103374,60500,132547,3654,10284,136675,366667
2020/4/7,109069,107663,62589,135586,3906,10331,141942,396223
2020/4/8,112950,113296,64586,139422,4257,10384,148220,429052
2020/4/9,117749,118181,66220,143626,4667,10423,153222,461437
2020/4/10,124869,122171,68192,147577,5530,10450,158273,496535
2020/4/11,129654,124908,70029,152271,6005,10480,163027,526396
2020/4/12,132591,127854,71686,156363,6748,10512,166831,555313
